"Initiative Name","Item Name","PO Number","CMS Job No.","Total Quantity","Delivery Country","Quantity","No. of Pallets","Size of Pallet (h x w x d)","Assembled Product Size (h x w x d)","Outer Pack Size (h x w x d)","Artwork/Promotion","Claim","Artwork Version","Die Cut Version","Artwork Due date","Actual artwork received date","Artwork approved date","Requested Delivery date","Confirmed Delivery Date","Updated Delivery Date","Actual Date Delivered","CMS POD (Y/N)","GR (Y/N)","Invoiced (Y/N)","Labelling","Delivery Address","Booking In Details","Comments","Supplier","PDF downdloaded from Box.com","Approval from Box.com","Status","Orderer","Unit Cost (EUR)","Order Total (EUR)"
"6 Nations Rugby ROI Q1 2017","004. 72 Can FSDU Body","","","","ROI","975","","","1637mm (h) x 420mm (w) x 320mm (d) including header (1380mm h excluding header)","995mm (h) x 800mm (w) x 50mm (d)","","","","","","","","","","","","","","","","Hawthorn Logistics Solutions","","","","","","","","0","0.00"
"6 Nations Rugby ROI Q1 2017","005. 72 Can FSDU Header (Initiative)","","","","ROI","975","","","327mm (h) x 422mm (w)","510mm  x 375mm x 15mm","","","","","","","","","","","","","","","","Hawthorn Logistics Solutions","","","","","","","","0","0.00"
"6 Nations Rugby ROI Q1 2017","019. Pallet Skirt - EURO","","","","ROI","106","","","Euro: 150mm Height, 810mm depth, 1210mm width (Made up)","45mm x 670mm x 170mm","","","","","","","","","","","","","","","","Hawthorn Logistics Solutions","","","","","","","","0","0.00"
"6 Nations Rugby ROI Q1 2017","042. SELS (x4 per pack)","","","","ROI","1172","","","100mm wide x 39mm tall","Packed in an Envolope / polybag (4 to a pack)","","","","","","","","","","","","","","","","Hawthorn Logistics Solutions","","","","","","","","0","0.00"
"Additional SPK Activity UK Q3 2017","002. Single Facing Cereal FSDU Header (Initiative)","","","","UK and ROI Cluster","45","","","511mm (h) x 275mm (w)","TBC","","","","","","","","","","","","","","","","UK: Communisis Cramlington","","","","","","","","0","0.00"
"Additional SPK Activity UK Q3 2017","011. 1/4 pallet FSDU Header (Initiative)","","","","UK and ROI Cluster","70","","","427mm (h) x 600mm (w)","TBC","","","","","","","","","","","","","","","","UK: Communisis Cramlington","","","","","","","","0","0.00"
"Adult CI RTEC","001. Single Facing Cereal FSDU Body","","","","UK and ROI Cluster","80","","","1400mm (h) x 280mm (w) x 300mm (d)","770mm (h) x 615mm (w) x 35mm (d)","","","","","","2017-01-17T14:32:18.280Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Adult CI RTEC","002. Single Facing Cereal FSDU Header (Initiative)","","","","UK and ROI Cluster","80","","","511mm (h) x 275mm (w)","TBC","","","","","","2017-01-17T14:32:18.280Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Adult CI RTEC","013. 1/4 Pallet with Snacks Shelf Body","","","","UK and ROI Cluster","217","","","1470mm (h) x 600mm (w) x 400mm (d)","687mm (w) x 815mm (h)  x 68mm (d)","","","","","","2017-01-17T14:32:18.280Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Adult CI RTEC","014. 1/4 Pallet with Snacks Shelf Header (Initiative)","","","","UK and ROI Cluster","217","","","427mm (h) x 600mm (w)","TBC","","","","","","2017-01-17T14:32:18.280Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Adult CI RTEC","035. Pallet Skirt - GB","","","","UK and ROI Cluster","191","","","GB: 450mm (h) x 1200mm (w) x 1000mm (d)","700mm (h) x 465mm (w) x 65mm (d)","","","","","","2017-01-17T14:32:18.280Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Adult CI RTEC","037. Corner Boards","","","","UK and ROI Cluster","329","","","880mm (h) x 300mm (w) x 300mm (d)","900mm (h) x 625mm 9w) x 40mm (d)","","","","","","2017-01-17T14:32:18.280Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Adult CI RTEC","049. SELs","","","","UK and ROI Cluster","80","","","100mm wide x 39mm tall","Packed in an Envolope / polybag (4 to a pack)","","","","","","2017-01-17T14:32:18.280Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Laura.aitken@kellogg.com","0","0.00"
"Alette (BM - restage)","Aisle Fins","","","","FraBeNeLux Cluster","240","","","910mm (h) x 435mm (w)","920mm x 440mm x 10mm","","","","","2015-09-04T11:00:00Z","","","2015-11-30T12:00:00Z","","","","","","","","Belgium: Belgicastraat","","","","","","ARTWORK SUBMITTED","Laurent.Friedmann@kellogg.com","9.49","2277.60"
"Alette (BM - restage)","Mega Brand 5 Shelf FSDU with x2 double sided printed header","","","","FraBeNeLux Cluster","240","","","1359mm (h) (1587mm including Header) x 661mm (w) x 288mm (d)","996mm x 896mm x 43mm","","","","","2015-09-04T11:00:00Z","","","2015-11-30T12:00:00Z","","","","","","","","Belgium: Schenker","","","","","","ARTWORK SUBMITTED","Laurent.Friedmann@kellogg.com","0","0.00"
"Alette (BM - restage)","Wobbler without Die Cut - New Double Choc Flavour","","","","FraBeNeLux Cluster","340","","","120mm x 120mm","Filled A4 boxes","","","","","2015-09-04T11:00:00Z","","","2015-11-30T12:00:00Z","","","","","","","","France: SOFTMARKETING","","","","","","ARTWORK SUBMITTED","Laurent.Friedmann@kellogg.com","0.43","146.20"
"Alette (BM - restage)","Wobbler without Die Cut - New Double Choc Flavour","","","","FraBeNeLux Cluster","600","","","120mm x 120mm","Filled A4 boxes","","","","","2015-09-04T11:00:00Z","","","2015-11-30T12:00:00Z","","","","","","","","Belgium: Belgicastraat","","","","","","ARTWORK SUBMITTED","Laurent.Friedmann@kellogg.com","0.43","258.00"
"Alette (BM - restage)","Standee/Totem","","","","Southern Europe Cluster","150","","","1900mm x 630mm","710mm x 630mm x 430mm","","","","","2015-09-04T11:00:00Z","2015-10-6 9:7","","2015-11-30T12:00:00Z","","","","","","","","Italy: DHL Supply Chain Italy","","","","","","ORDER SUBMITTED","robert.radford@kellogg.com","10.70","1605.00"
"Alette (BM - restage)","Sweet 2 Facing FSDU with x2 double sided header","","","","Southern Europe Cluster","300","","","1320mm (h) (1565mm including Header) x 350mm (w) x 410mm (d)","830mm x 850mm x 35mm","","","","","2015-09-04T11:00:00Z","2015-10-6 9:7","","2015-11-30T12:00:00Z","","","","","","","","Italy: DHL Supply Chain Italy","","","","","","ORDER SUBMITTED","robert.radford@kellogg.com","0","0.00"
"Alette (BM - restage)","Wobbler without Die Cut - New Baked to Perfection Artwork","","","","Southern Europe Cluster","1500","","","120mm x 120mm","Filled A4 boxes","","","","","2015-09-04T11:00:00Z","2015-10-6 9:7","","2015-11-30T12:00:00Z","","","","","","","","Italy: Kellogg Italia S.p.A.","","","","","","ORDER SUBMITTED","robert.radford@kellogg.com","0.43","645.00"
